,ID,Chemical_Name,MinLimit,MaxLimit,Units
689,85188,P,MON,MON,MG/L
690,85188,TKN,,,
691,85188,ORGN,,,
692,85188,AMMONIA,,,
693,85188,INORGN,,,
694,85188,NITRATE,,,
695,85188,PO4,,,
696,85190,N,MON,MON,MG/L
697,85190,P,MON,MON,MG/L
698,85190,TKN,,,
699,85190,ORGN,,,
700,85190,AMMONIA,,,
701,85190,INORGN,,,
702,85190,NITRATE,,,
703,85190,PO4,,,
704,85204,N,MON,MON,MG/L
705,85204,P,MON,MON,MG/L
706,85204,TKN,,,
707,85204,ORGN,,,
708,85204,AMMONIA,,,
709,85204,INORGN,,,
710,85204,NITRATE,,,
711,85204,PO4,,,
712,85206,N,MON,MON,MG/L
713,85206,P,MON,MON,MG/L
714,85206,TKN,,,
715,85206,ORGN,,,
716,85206,AMMONIA,,,
717,85206,INORGN,,,
718,85206,NITRATE,,,
719,85206,PO4,,,
720,85210,N,3.479017178,3.479017178,MG/L
721,85210,P,MON,MON,MG/L
722,85210,TKN,,,
723,85210,ORGN,,,
724,85210,AMMONIA,,,
725,85210,INORGN,,,
726,85210,NITRATE,,,
727,85210,PO4,,,
728,85217,N,MON,MON,MG/L
729,85217,P,MON,MON,MG/L
730,85217,TKN,,,
731,85217,ORGN,,,
732,85217,AMMONIA,,,
733,85217,INORGN,,,
734,85217,NITRATE,,,
735,85217,PO4,,,
736,88240,N,MON,MON,MG/L
737,88240,P,MON,MON,MG/L
738,88240,TKN,,,
739,88240,ORGN,,,
740,88240,AMMONIA,,,
741,88240,INORGN,,,
742,88240,NITRATE,,,
743,88240,PO4,,,
744,88241,N,,,
745,88241,P,MON,MON,MG/L
746,88241,TKN,,,
747,88241,ORGN,,,
748,88241,AMMONIA,148.2993197,296.5986395,KG/DAY
749,88241,INORGN,,,
750,88241,NITRATE,,,
751,88241,PO4,,,
752,88242,N,MON,MON,MG/L
753,88242,P,MON,MON,MG/L
754,88242,TKN,,,
755,88242,ORGN,,,
756,88242,AMMONIA,,,
757,88242,INORGN,,,
758,88242,NITRATE,,,
759,88242,PO4,,,
760,88244,N,,,
761,88244,P,MON,MON,MG/L
762,88244,TKN,,,
763,88244,ORGN,,,
764,88244,AMMONIA,10.88435374,30.83900227,KG/DAY
765,88244,INORGN,,,
766,88244,NITRATE,,,
767,88244,PO4,,,
768,88245,N,,,
769,88245,P,MON,MON,MG/L
770,88245,TKN,,,
771,88245,ORGN,,,
772,88245,AMMONIA,MON,MON,MG/L
773,88245,INORGN,,,
774,88245,NITRATE,,,
775,88245,PO4,,,
776,88246,N,MON,MON,MG/L
777,88246,P,26.75736961,26.75736961,KG/DAY
778,88246,TKN,,,
779,88246,ORGN,,,
780,88246,AMMONIA,39.90929705,103.4013605,KG/DAY
781,88246,INORGN,,,
782,88246,NITRATE,,,
783,88246,PO4,,,
784,88247,N,MON,MON,MG/L
785,88247,P,MON,MON,MG/L
786,88247,TKN,,,
787,88247,ORGN,,,
788,88247,AMMONIA,,,
789,88247,INORGN,,,
790,88247,NITRATE,,,
791,88247,PO4,,,
792,88248,N,,,
793,88248,P,MON,MON,MG/L
794,88248,TKN,,,
795,88248,ORGN,,,
796,88248,AMMONIA,6.349206349,17.23356009,KG/DAY
797,88248,INORGN,,,
798,88248,NITRATE,MON,MON,MG/L
799,88248,PO4,,,
800,88253,N,,,
801,88253,P,MON,MON,MG/L
802,88253,TKN,,,
803,88253,ORGN,,,
804,88253,AMMONIA,8.163265306,15.41950113,KG/DAY
805,88253,INORGN,,,
806,88253,NITRATE,,,
807,88253,PO4,,,
808,88254,N,MON,MON,MG/L
809,88254,P,MON,MON,MG/L
810,88254,TKN,,,
811,88254,ORGN,,,
812,88254,AMMONIA,,,
813,88254,INORGN,,,
814,88254,NITRATE,,,
815,88254,PO4,,,
816,88256,N,,,
817,88256,P,MON,MON,MG/L
818,88256,TKN,,,
819,88256,ORGN,,,
820,88256,AMMONIA,3.537414966,9.523809524,KG/DAY
821,88256,INORGN,,,
822,88256,NITRATE,,,
823,88256,PO4,,,
824,88257,N,,,
825,88257,P,MON,MON,MG/L
826,88257,TKN,,,
827,88257,ORGN,,,
828,88257,AMMONIA,115.1927438,307.0294785,KG/DAY
829,88257,INORGN,,,
830,88257,NITRATE,,,
831,88257,PO4,,,
832,88258,N,MON,MON,MG/L
833,88258,P,MON,MON,MG/L
834,88258,TKN,,,
835,88258,ORGN,,,
836,88258,AMMONIA,,,
837,88258,INORGN,,,
